0	12	12.0	12.0
1	33	22.5	22.5
2	37	27.333333333333332	27.333333333333332
3	26	27.0	27.0
4	14	24.4	24.4
5	13	22.5	22.5
6	19	22.0	22.0
7	26	22.5	22.5
8	22	22.444444444444443	22.444444444444443
9	11	21.3	21.3
10	22	21.363636363636363	21.363636363636363
11	13	20.666666666666668	20.666666666666668
12	18	20.46153846153846	20.46153846153846
13	47	22.357142857142858	22.357142857142858
14	15	21.866666666666667	21.866666666666667
15	21	21.8125	21.8125
16	23	21.88235294117647	21.88235294117647
17	13	21.38888888888889	21.38888888888889
18	24	21.526315789473685	21.526315789473685
19	14	21.15	21.15
20	12	20.714285714285715	20.714285714285715
21	15	20.454545454545453	20.454545454545453
22	30	20.869565217391305	20.869565217391305
23	47	21.958333333333332	21.958333333333332
24	11	21.52	21.52
25	33	21.96153846153846	21.96153846153846
26	14	21.666666666666668	21.666666666666668
27	20	21.607142857142858	21.607142857142858
28	19	21.517241379310345	21.517241379310345
29	44	22.266666666666666	22.266666666666666
30	32	22.580645161290324	22.580645161290324
31	14	22.3125	22.3125
32	11	21.96969696969697	21.96969696969697
33	73	23.470588235294116	23.470588235294116
34	21	23.4	23.4
35	37	23.77777777777778	23.77777777777778
36	26	23.83783783783784	23.83783783783784
37	14	23.57894736842105	23.57894736842105
38	21	23.512820512820515	23.512820512820515
39	18	23.375	23.375
40	29	23.51219512195122	23.51219512195122
41	11	23.214285714285715	23.214285714285715
42	13	22.976744186046513	22.976744186046513
43	9	22.65909090909091	22.65909090909091
44	26	22.733333333333334	22.733333333333334
45	11	22.47826086956522	22.47826086956522
46	8	22.170212765957448	22.170212765957448
47	11	21.9375	21.9375
48	30	22.102040816326532	22.102040816326532
49	14	21.94	21.94
50	13	21.764705882352942	21.764705882352942
51	10	21.53846153846154	21.53846153846154
52	123	23.452830188679247	23.452830188679247
53	77	24.444444444444443	24.444444444444443
54	48	24.87272727272727	24.87272727272727
55	83	25.910714285714285	25.910714285714285
56	48	26.29824561403509	26.29824561403509
57	44	26.603448275862068	26.603448275862068
58	69	27.322033898305083	27.322033898305083
59	61	27.883333333333333	27.883333333333333
60	112	29.262295081967213	29.262295081967213
61	122	30.758064516129032	30.758064516129032
62	201	33.46031746031746	33.46031746031746
63	124	34.875	34.875
64	68	35.38461538461539	35.38461538461539
65	201	37.89393939393939	37.89393939393939
66	78	38.492537313432834	38.492537313432834
67	201	40.88235294117647	40.88235294117647
68	201	43.20289855072464	43.20289855072464
69	201	45.457142857142856	45.457142857142856
70	201	47.647887323943664	47.647887323943664
71	201	49.77777777777778	49.77777777777778
72	201	51.84931506849315	51.84931506849315
73	201	53.86486486486486	53.86486486486486
74	201	55.82666666666667	55.82666666666667
75	201	57.73684210526316	57.73684210526316
76	201	59.5974025974026	59.5974025974026
77	201	61.41025641025641	61.41025641025641
78	201	63.177215189873415	63.177215189873415
79	201	64.9	64.9
80	201	66.58024691358025	66.58024691358025
81	201	68.21951219512195	68.21951219512195
82	201	69.81927710843374	69.81927710843374
83	201	71.38095238095238	71.38095238095238
84	201	72.90588235294118	72.90588235294118
85	201	74.3953488372093	74.3953488372093
86	201	75.85057471264368	75.85057471264368
87	201	77.27272727272727	77.27272727272727
88	201	78.66292134831461	78.66292134831461
89	201	80.02222222222223	80.02222222222223
90	201	81.35164835164835	81.35164835164835
91	201	82.65217391304348	82.65217391304348
92	201	83.9247311827957	83.9247311827957
93	201	85.17021276595744	85.17021276595744
94	201	86.38947368421053	86.38947368421053
95	201	87.58333333333333	87.58333333333333
96	201	88.75257731958763	88.75257731958763
97	201	89.89795918367346	89.89795918367346
98	201	91.02020202020202	91.02020202020202
99	201	92.12	92.12
100	201	93.1980198019802	94.01
101	198	94.22549019607843	95.66
102	201	95.2621359223301	97.3
103	166	95.9423076923077	98.7
104	201	96.94285714285714	100.57
105	201	97.9245283018868	102.45
106	201	98.88785046728972	104.27
107	201	99.83333333333333	106.02
108	201	100.76146788990826	107.81
109	201	101.67272727272727	109.71
110	201	102.56756756756756	111.5
111	201	103.44642857142857	113.38
112	162	103.96460176991151	114.82
113	201	104.8157894736842	116.36
114	201	105.65217391304348	118.22
115	201	106.47413793103448	120.02
116	193	107.21367521367522	121.72
117	201	108.00847457627118	123.6
118	201	108.78991596638656	125.37
